classifier_name,dataset_name,accuracy
Encoder,0,48.4
Encoder,1,80.4
Encoder,2,64.3
Encoder,3,74.5
Encoder,4,66.5
Encoder,5,75.8
Encoder,6,94.7
Encoder,7,57.3
Encoder,8,91.1
Encoder,9,97.9
Encoder,10,57.4
Encoder,11,69.4
Encoder,12,67.5
Encoder,13,69.2
Encoder,14,91.3
Encoder,15,73.7
Encoder,16,74.1
Encoder,17,68.8
Encoder,18,74.8
Encoder,19,92.3
Encoder,20,94.0
Encoder,21,98.2
Encoder,22,67.4
Encoder,23,79.3
Encoder,24,81.5
Encoder,25,87.4
Encoder,26,72.3
Encoder,27,86.6
Encoder,28,92.3
Encoder,29,89.0
Encoder,30,93.6
Encoder,31,72.7
Encoder,32,89.9
Encoder,33,42.7
Encoder,34,58.6
Encoder,35,29.2
Encoder,36,63.3
Encoder,37,96.5
Encoder,38,61.9
Encoder,39,69.2
Encoder,40,62.5
Encoder,41,87.6
Encoder,42,74.2
Encoder,43,73.4
Encoder,44,57.9
Encoder,45,76.1
Encoder,46,59.2
Encoder,47,84.0
Encoder,48,91.6
Encoder,49,93.2
Encoder,50,40.0
Encoder,51,57.6
Encoder,52,76.7
Encoder,53,17.2
Encoder,54,97.6
Encoder,55,84.4
Encoder,56,79.1
Encoder,57,81.2
Encoder,58,48.8
Encoder,59,38.3
Encoder,60,53.0
Encoder,61,75.8
Encoder,62,59.6
Encoder,63,74.3
Encoder,64,83.9
Encoder,65,95.7
Encoder,66,94.6
Encoder,67,93.0
Encoder,68,82.1
Encoder,69,99.6
Encoder,70,65.9
Encoder,71,79.5
Encoder,72,96.0
Encoder,73,86.3
Encoder,74,100.0
Encoder,75,95.4
Encoder,76,78.6
Encoder,77,69.6
Encoder,78,71.1
Encoder,79,99.6
Encoder,80,50.0
Encoder,81,61.3
Encoder,82,57.1
Encoder,83,63.9
Encoder,84,82.0
FCN,0,84.4
FCN,1,84.3
FCN,2,69.7
FCN,3,86.0
FCN,4,95.5
FCN,5,90.5
FCN,6,99.4
FCN,7,81.4
FCN,8,82.4
FCN,9,100.0
FCN,10,82.2
FCN,11,79.2
FCN,12,78.7
FCN,13,81.1
FCN,14,31.3
FCN,15,71.0
FCN,16,76.0
FCN,17,69.0
FCN,18,72.7
FCN,19,88.9
FCN,20,94.0
FCN,21,98.7
FCN,22,70.2
FCN,23,94.5
FCN,24,92.8
FCN,25,94.6
FCN,26,62.7
FCN,27,95.8
FCN,28,90.4
FCN,29,87.8
FCN,30,100.0
FCN,31,71.8
FCN,32,80.6
FCN,33,48.0
FCN,34,60.8
FCN,35,33.9
FCN,36,39.3
FCN,37,96.1
FCN,38,90.2
FCN,39,73.9
FCN,40,82.7
FCN,41,96.7
FCN,42,85.3
FCN,43,77.9
FCN,44,55.3
FCN,45,80.1
FCN,46,51.2
FCN,47,93.7
FCN,48,95.6
FCN,49,95.3
FCN,50,72.3
FCN,51,97.7
FCN,52,82.0
FCN,53,32.5
FCN,54,100.0
FCN,55,83.1
FCN,56,90.3
FCN,57,76.7
FCN,58,50.8
FCN,59,62.5
FCN,60,72.4
FCN,61,89.5
FCN,62,78.3
FCN,63,96.0
FCN,64,97.9
FCN,65,96.1
FCN,66,97.2
FCN,67,96.9
FCN,68,95.5
FCN,69,98.5
FCN,70,96.1
FCN,71,88.0
FCN,72,100.0
FCN,73,100.0
FCN,74,87.1
FCN,75,81.7
FCN,76,75.4
FCN,77,63.9
FCN,78,72.6
FCN,79,99.7
FCN,80,58.7
FCN,81,56.4
FCN,82,76.5
FCN,83,72.6
FCN,84,83.9
ResNet,0,82.9
ResNet,1,84.5
ResNet,2,75.3
ResNet,3,85.0
ResNet,4,88.5
ResNet,5,92.5
ResNet,6,99.5
ResNet,7,84.4
ResNet,8,82.6
ResNet,9,100.0
ResNet,10,81.5
ResNet,11,79.1
ResNet,12,80.3
ResNet,13,81.2
ResNet,14,30.1
ResNet,15,71.7
ResNet,16,77.1
ResNet,17,66.5
ResNet,18,71.2
ResNet,19,87.4
ResNet,20,93.4
ResNet,21,97.5
ResNet,22,72.9
ResNet,23,83.9
ResNet,24,95.5
ResNet,25,95.5
ResNet,26,74.0
ResNet,27,97.9
ResNet,28,92.0
ResNet,29,91.3
ResNet,30,99.1
ResNet,31,75.7
ResNet,32,91.1
ResNet,33,51.9
ResNet,34,61.9
ResNet,35,37.3
ResNet,36,50.7
ResNet,37,96.3
ResNet,38,90.0
ResNet,39,77.0
ResNet,40,84.5
ResNet,41,97.2
ResNet,42,96.8
ResNet,43,77.0
ResNet,44,56.9
ResNet,45,80.9
ResNet,46,48.4
ResNet,47,92.8
ResNet,48,94.5
ResNet,49,94.6
ResNet,50,83.0
ResNet,51,97.9
ResNet,52,83.9
ResNet,53,33.4
ResNet,54,100.0
ResNet,55,85.3
ResNet,56,92.1
ResNet,57,78.0
ResNet,58,52.5
ResNet,59,62.2
ResNet,60,77.9
ResNet,61,92.1
ResNet,62,78.6
ResNet,63,95.8
ResNet,64,97.8
ResNet,65,97.2
ResNet,66,98.1
ResNet,67,95.6
ResNet,68,90.6
ResNet,69,99.8
ResNet,70,96.3
ResNet,71,90.6
ResNet,72,100.0
ResNet,73,100.0
ResNet,74,100.0
ResNet,75,86.0
ResNet,76,78.0
ResNet,77,67.0
ResNet,78,75.0
ResNet,79,99.9
ResNet,80,74.4
ResNet,81,62.2
ResNet,82,79.1
ResNet,83,74.7
ResNet,84,87.0
MLP,0,39.7
MLP,1,77.8
MLP,2,72.0
MLP,3,87.0
MLP,4,77.5
MLP,5,76.7
MLP,6,87.2
MLP,7,80.2
MLP,8,84.0
MLP,9,99.6
MLP,10,56.3
MLP,11,59.1
MLP,12,60.0
MLP,13,61.7
MLP,14,91.0
MLP,15,65.7
MLP,16,72.6
MLP,17,61.7
MLP,18,71.7
MLP,19,91.6
MLP,20,92.9
MLP,21,97.0
MLP,22,59.2
MLP,23,79.3
MLP,24,84.0
MLP,25,83.3
MLP,26,68.4
MLP,27,84.8
MLP,28,73.0
MLP,29,60.3
MLP,30,92.7
MLP,31,69.1
MLP,32,91.8
MLP,33,43.3
MLP,34,52.8
MLP,35,33.7
MLP,36,60.7
MLP,37,95.4
MLP,38,47.3
MLP,39,67.0
MLP,40,63.0
MLP,41,91.8
MLP,42,89.7
MLP,43,72.1
MLP,44,53.1
MLP,45,77.0
MLP,46,53.4
MLP,47,85.8
MLP,48,91.6
MLP,49,91.7
MLP,50,66.7
MLP,51,55.7
MLP,52,73.5
MLP,53,9.6
MLP,54,97.8
MLP,55,85.6
MLP,56,73.3
MLP,57,76.7
MLP,58,37.9
MLP,59,40.3
MLP,60,50.3
MLP,61,77.1
MLP,62,37.1
MLP,63,67.2
MLP,64,83.4
MLP,65,94.9
MLP,66,96.1
MLP,67,85.1
MLP,68,83.2
MLP,69,97.6
MLP,70,58.3
MLP,71,74.5
MLP,72,80.7
MLP,73,76.2
MLP,74,94.6
MLP,75,95.5
MLP,76,76.7
MLP,77,69.8
MLP,78,69.7
MLP,79,99.6
MLP,80,56.5
MLP,81,59.8
MLP,82,45.7
MLP,83,60.1
MLP,84,85.5
MCNN,0,2.2
MCNN,1,33.9
MCNN,2,20.0
MCNN,3,50.0
MCNN,4,50.0
MCNN,5,24.0
MCNN,6,33.2
MCNN,7,53.3
MCNN,8,38.1
MCNN,9,51.4
MCNN,10,52.2
MCNN,11,18.9
MCNN,12,18.4
MCNN,13,18.3
MCNN,14,30.1
MCNN,15,46.8
MCNN,16,58.3
MCNN,17,30.2
MCNN,18,74.8
MCNN,19,64.0
MCNN,20,61.8
MCNN,21,49.9
MCNN,22,33.6
MCNN,23,17.0
MCNN,24,26.8
MCNN,25,15.3
MCNN,26,22.0
MCNN,27,13.4
MCNN,28,51.3
MCNN,29,49.8
MCNN,30,51.3
MCNN,31,50.6
MCNN,32,64.1
MCNN,33,20.9
MCNN,34,59.4
MCNN,35,16.7
MCNN,36,15.8
MCNN,37,50.0
MCNN,38,41.0
MCNN,39,55.7
MCNN,40,31.0
MCNN,41,13.5
MCNN,42,33.3
MCNN,43,51.4
MCNN,44,18.8
MCNN,45,57.0
MCNN,46,27.3
MCNN,47,50.8
MCNN,48,16.1
MCNN,49,16.0
MCNN,50,38.0
MCNN,51,24.3
MCNN,52,61.3
MCNN,53,13.2
MCNN,54,13.0
MCNN,55,48.8
MCNN,56,68.4
MCNN,57,35.1
MCNN,58,33.3
MCNN,59,34.1
MCNN,60,50.0
MCNN,61,13.2
MCNN,62,36.9
MCNN,63,44.3
MCNN,64,59.4
MCNN,65,65.4
MCNN,66,64.3
MCNN,67,11.8
MCNN,68,22.6
MCNN,69,29.8
MCNN,70,50.5
MCNN,71,63.2
MCNN,72,35.4
MCNN,73,50.0
MCNN,74,40.3
MCNN,75,28.9
MCNN,76,18.9
MCNN,77,23.7
MCNN,78,18.0
MCNN,79,91.3
MCNN,80,50.0
MCNN,81,28.4
MCNN,82,42.9
MCNN,83,57.1
MCNN,84,53.6
t-LeNet,0,2.0
t-LeNet,1,30.3
t-LeNet,2,20.0
t-LeNet,3,50.0
t-LeNet,4,50.0
t-LeNet,5,31.7
t-LeNet,6,33.2
t-LeNet,7,53.3
t-LeNet,8,25.0
t-LeNet,9,53.6
t-LeNet,10,50.0
t-LeNet,11,7.4
t-LeNet,12,8.5
t-LeNet,13,6.2
t-LeNet,14,30.1
t-LeNet,15,44.6
t-LeNet,16,58.3
t-LeNet,17,28.3
t-LeNet,18,74.8
t-LeNet,19,64.0
t-LeNet,20,58.4
t-LeNet,21,49.7
t-LeNet,22,24.2
t-LeNet,23,8.0
t-LeNet,24,29.5
t-LeNet,25,14.3
t-LeNet,26,12.5
t-LeNet,27,12.6
t-LeNet,28,51.0
t-LeNet,29,51.2
t-LeNet,30,49.3
t-LeNet,31,51.4
t-LeNet,32,64.1
t-LeNet,33,20.8
t-LeNet,34,59.4
t-LeNet,35,16.5
t-LeNet,36,9.1
t-LeNet,37,49.9
t-LeNet,38,33.3
t-LeNet,39,54.1
t-LeNet,40,26.0
t-LeNet,41,12.3
t-LeNet,42,33.3
t-LeNet,43,51.4
t-LeNet,44,57.1
t-LeNet,45,57.0
t-LeNet,46,28.6
t-LeNet,47,53.9
t-LeNet,48,2.9
t-LeNet,49,2.9
t-LeNet,50,38.0
t-LeNet,51,18.2
t-LeNet,52,61.3
t-LeNet,53,11.3
t-LeNet,54,13.4
t-LeNet,55,48.8
t-LeNet,56,68.4
t-LeNet,57,34.6
t-LeNet,58,33.3
t-LeNet,59,33.3
t-LeNet,60,50.0
t-LeNet,61,1.7
t-LeNet,62,33.3
t-LeNet,63,42.9
t-LeNet,64,61.7
t-LeNet,65,57.7
t-LeNet,66,64.3
t-LeNet,67,6.5
t-LeNet,68,17.4
t-LeNet,69,16.7
t-LeNet,70,52.6
t-LeNet,71,81.5
t-LeNet,72,24.0
t-LeNet,73,50.0
t-LeNet,74,25.9
t-LeNet,75,12.8
t-LeNet,76,12.5
t-LeNet,77,12.1
t-LeNet,78,12.1
t-LeNet,79,89.2
t-LeNet,80,50.0
t-LeNet,81,21.9
t-LeNet,82,42.9
t-LeNet,83,55.7
t-LeNet,84,53.6
MCDCNN,0,61.0
MCDCNN,1,68.5
MCDCNN,2,56.3
MCDCNN,3,58.0
MCDCNN,4,58.0
MCDCNN,5,73.0
MCDCNN,6,82.0
MCDCNN,7,64.3
MCDCNN,8,73.6
MCDCNN,9,98.2
MCDCNN,10,55.9
MCDCNN,11,49.5
MCDCNN,12,49.7
MCDCNN,13,49.8
MCDCNN,14,70.3
MCDCNN,15,74.4
MCDCNN,16,75.3
MCDCNN,17,67.7
MCDCNN,18,74.9
MCDCNN,19,83.3
MCDCNN,20,93.7
MCDCNN,21,76.2
MCDCNN,22,64.4
MCDCNN,23,71.7
MCDCNN,24,71.2
MCDCNN,25,75.6
MCDCNN,26,58.9
MCDCNN,27,75.8
MCDCNN,28,79.5
MCDCNN,29,53.3
MCDCNN,30,86.7
MCDCNN,31,73.3
MCDCNN,32,90.9
MCDCNN,33,40.4
MCDCNN,34,60.0
MCDCNN,35,21.5
MCDCNN,36,58.3
MCDCNN,37,95.5
MCDCNN,38,43.4
MCDCNN,39,63.0
MCDCNN,40,53.4
MCDCNN,41,90.1
MCDCNN,42,70.5
MCDCNN,43,64.0
MCDCNN,44,58.5
MCDCNN,45,81.1
MCDCNN,46,58.1
MCDCNN,47,76.5
MCDCNN,48,90.5
MCDCNN,49,91.5
MCDCNN,50,40.0
MCDCNN,51,37.8
MCDCNN,52,80.3
MCDCNN,53,13.0
MCDCNN,54,96.5
MCDCNN,55,83.8
MCDCNN,56,87.3
MCDCNN,57,79.7
MCDCNN,58,36.9
MCDCNN,59,42.7
MCDCNN,60,50.7
MCDCNN,61,61.3
MCDCNN,62,48.5
MCDCNN,63,65.3
MCDCNN,64,77.4
MCDCNN,65,93.9
MCDCNN,66,95.6
MCDCNN,67,84.6
MCDCNN,68,75.6
MCDCNN,69,98.3
MCDCNN,70,49.0
MCDCNN,71,44.3
MCDCNN,72,86.3
MCDCNN,73,76.0
MCDCNN,74,97.8
MCDCNN,75,92.9
MCDCNN,76,71.1
MCDCNN,77,63.6
MCDCNN,78,65.0
MCDCNN,79,99.2
MCDCNN,80,50.0
MCDCNN,81,46.3
MCDCNN,82,42.6
MCDCNN,83,57.0
MCDCNN,84,76.2
Time-CNN,0,37.9
Time-CNN,1,72.3
Time-CNN,2,76.3
Time-CNN,3,89.0
Time-CNN,4,60.5
Time-CNN,5,78.2
Time-CNN,6,95.7
Time-CNN,7,60.0
Time-CNN,8,74.5
Time-CNN,9,99.6
Time-CNN,10,54.8
Time-CNN,11,55.2
Time-CNN,12,57.0
Time-CNN,13,48.8
Time-CNN,14,95.4
Time-CNN,15,75.2
Time-CNN,16,75.9
Time-CNN,17,67.3
Time-CNN,18,70.0
Time-CNN,19,81.4
Time-CNN,20,92.8
Time-CNN,21,88.2
Time-CNN,22,68.1
Time-CNN,23,76.8
Time-CNN,24,90.6
Time-CNN,25,86.9
Time-CNN,26,62.1
Time-CNN,27,84.9
Time-CNN,28,88.1
Time-CNN,29,80.6
Time-CNN,30,93.2
Time-CNN,31,71.1
Time-CNN,32,88.8
Time-CNN,33,36.6
Time-CNN,34,53.9
Time-CNN,35,28.7
Time-CNN,36,58.3
Time-CNN,37,95.5
Time-CNN,38,66.6
Time-CNN,39,63.6
Time-CNN,40,65.1
Time-CNN,41,92.0
Time-CNN,42,90.2
Time-CNN,43,67.6
Time-CNN,44,56.6
Time-CNN,45,76.6
Time-CNN,46,54.9
Time-CNN,47,88.2
Time-CNN,48,86.5
Time-CNN,49,89.8
Time-CNN,50,40.0
Time-CNN,51,46.2
Time-CNN,52,77.1
Time-CNN,53,9.5
Time-CNN,54,96.5
Time-CNN,55,82.8
Time-CNN,56,81.2
Time-CNN,57,78.3
Time-CNN,58,43.9
Time-CNN,59,38.9
Time-CNN,60,50.0
Time-CNN,61,61.9
Time-CNN,62,61.5
Time-CNN,63,68.7
Time-CNN,64,84.1
Time-CNN,65,92.6
Time-CNN,66,95.9
Time-CNN,67,88.4
Time-CNN,68,81.0
Time-CNN,69,99.0
Time-CNN,70,59.5
Time-CNN,71,73.8
Time-CNN,72,95.0
Time-CNN,73,87.2
Time-CNN,74,99.2
Time-CNN,75,91.8
Time-CNN,76,71.1
Time-CNN,77,62.6
Time-CNN,78,64.2
Time-CNN,79,96.1
Time-CNN,80,51.7
Time-CNN,81,56.6
Time-CNN,82,38.3
Time-CNN,83,53.8
Time-CNN,84,78.1
TWIESN,0,41.6
TWIESN,1,65.9
TWIESN,2,53.7
TWIESN,3,73.0
TWIESN,4,74.0
TWIESN,5,78.3
TWIESN,6,89.0
TWIESN,7,55.3
TWIESN,8,30.0
TWIESN,9,97.1
TWIESN,10,62.9
TWIESN,11,62.2
TWIESN,12,65.6
TWIESN,13,62.2
TWIESN,14,88.0
TWIESN,15,71.0
TWIESN,16,71.3
TWIESN,17,60.9
TWIESN,18,74.8
TWIESN,19,84.2
TWIESN,20,91.9
TWIESN,21,69.8
TWIESN,22,60.7
TWIESN,23,65.7
TWIESN,24,85.5
TWIESN,25,64.4
TWIESN,26,49.6
TWIESN,27,87.5
TWIESN,28,52.8
TWIESN,29,50.3
TWIESN,30,96.1
TWIESN,31,72.3
TWIESN,32,66.0
TWIESN,33,40.4
TWIESN,34,59.1
TWIESN,35,33.0
TWIESN,36,43.7
TWIESN,37,88.0
TWIESN,38,77.9
TWIESN,39,70.3
TWIESN,40,66.4
TWIESN,41,59.6
TWIESN,42,96.8
TWIESN,43,64.9
TWIESN,44,58.1
TWIESN,45,74.4
TWIESN,46,53.9
TWIESN,47,78.5
TWIESN,48,49.4
TWIESN,49,52.5
TWIESN,50,79.0
TWIESN,51,59.5
TWIESN,52,65.4
TWIESN,53,12.8
TWIESN,54,100.0
TWIESN,55,84.4
TWIESN,56,82.1
TWIESN,57,78.1
TWIESN,58,50.1
TWIESN,59,43.1
TWIESN,60,61.7
TWIESN,61,62.9
TWIESN,62,65.6
TWIESN,63,63.8
TWIESN,64,69.7
TWIESN,65,85.0
TWIESN,66,89.5
TWIESN,67,82.5
TWIESN,68,75.0
TWIESN,69,87.4
TWIESN,70,86.5
TWIESN,71,84.2
TWIESN,72,95.9
TWIESN,73,85.2
TWIESN,74,87.1
TWIESN,75,55.6
TWIESN,76,60.6
TWIESN,77,52.0
TWIESN,78,56.5
TWIESN,79,91.4
TWIESN,80,75.9
TWIESN,81,49.0
TWIESN,82,46.6
TWIESN,83,57.0
TWIESN,84,60.7
1-NN DTW CV,0,61.1
1-NN DTW CV,1,80.0
1-NN DTW CV,2,66.7
1-NN DTW CV,3,70.0
1-NN DTW CV,4,70.0
1-NN DTW CV,5,76.7
1-NN DTW CV,6,99.4
1-NN DTW CV,7,65.0
1-NN DTW CV,8,93.0
1-NN DTW CV,9,100.0
1-NN DTW CV,10,62.0
1-NN DTW CV,11,77.2
1-NN DTW CV,12,76.2
1-NN DTW CV,13,74.6
1-NN DTW CV,14,93.5
1-NN DTW CV,15,62.6
1-NN DTW CV,16,72.5
1-NN DTW CV,17,63.3
1-NN DTW CV,18,72.7
1-NN DTW CV,19,88.0
1-NN DTW CV,20,92.5
1-NN DTW CV,21,79.7
1-NN DTW CV,22,62.5
1-NN DTW CV,23,80.8
1-NN DTW CV,24,88.6
1-NN DTW CV,25,91.2
1-NN DTW CV,26,76.5
1-NN DTW CV,27,84.6
1-NN DTW CV,28,69.1
1-NN DTW CV,29,60.7
1-NN DTW CV,30,91.3
1-NN DTW CV,31,60.0
1-NN DTW CV,32,86.2
1-NN DTW CV,33,41.2
1-NN DTW CV,34,53.1
1-NN DTW CV,35,38.7
1-NN DTW CV,36,57.8
1-NN DTW CV,37,95.5
1-NN DTW CV,38,79.5
1-NN DTW CV,39,86.9
1-NN DTW CV,40,71.2
1-NN DTW CV,41,91.4
1-NN DTW CV,42,93.3
1-NN DTW CV,43,74.7
1-NN DTW CV,44,51.9
1-NN DTW CV,45,76.6
1-NN DTW CV,46,50.6
1-NN DTW CV,47,86.6
1-NN DTW CV,48,81.1
1-NN DTW CV,49,88.0
1-NN DTW CV,50,86.7
1-NN DTW CV,51,61.2
1-NN DTW CV,52,76.1
1-NN DTW CV,53,22.7
1-NN DTW CV,54,100.0
1-NN DTW CV,55,78.5
1-NN DTW CV,56,79.0
1-NN DTW CV,57,75.6
1-NN DTW CV,58,44.0
1-NN DTW CV,59,41.1
1-NN DTW CV,60,70.0
1-NN DTW CV,61,80.2
1-NN DTW CV,62,67.2
1-NN DTW CV,63,69.6
1-NN DTW CV,64,85.9
1-NN DTW CV,65,90.5
1-NN DTW CV,66,94.6
1-NN DTW CV,67,84.6
