dataset_name,OS-CNN,STC,ROCKET,TS-CHIEF,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,Inception,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8),OS-CNN-RES(2),OS-CNN-RES(3),UOS-CNN
ProximalPhalanxOutlineCorrect,90.79037800687286(0.6838401629598738),89.5303551,89.896907,88.82,76.89003436426117(2.067218112631607),90.89347079037799(0.29760323154103835),90.89347079037799(0.29760323154103835),88.3161512,86.94158076,85.91065292,86.59793814,91.83848797250857(0.6135247790844386),73.8831615120275(0.6428964582085817),68.4(0.0),68.38487972508591(0.0),86.76975945017182(2.207084635509476),81.18556701030928(1.4855340606349288),81.70103092783505(2.1648802694766593),79,78.4,83.41463415,84.87804878,80.48780488,85.3264605,84.3902439,84.8797251,89.691,85.3658537,87.9725086,91.75257731958763(1.1293248608353967),93.1271478(0.0),91.82130584,91.99312715,92.06185567,92.06185567,92.3024055,92.4742268,92.71477663,92.784,90.722,92.78350515
ProximalPhalanxTW,77.3170731707317(0.6634863662797783),80.76422764,81.658537,81.86,79.02439024390245(1.4221833889866597),76.70731707317073(1.1110284852615009),76.70731707317073(1.1110284852615009),79.51219512,71.2195122,80.48780488,78.04878049,77.4390243902439(0.7996876249148789),76.46341463414635(0.6336771247203216),35.1(0.0),34.512195121951216(1.056128541200536),78.17073170731707(0.7214731442804416),77.8048780487805(0.4224514164802144),78.41463414634147(1.3525044520011495),75.6,75.6,77.56097561,80.97560976,76.58536585,77.3170732,80.48780488,80,80.976,78.0487805,81.4634146,78.14634146341464(2.1902384703066957),77.56097559999999(0.0),77.46341463,77.85365854,77.75609756,77.70731707,77.75609756,77.80487805,77.90243902,77.561,77.561,77.56097561
RefrigerationDevices,50.29333333333334(1.2289833196589766),77.71555556,53.733333,55.83,46.86666666666667(1.4157840387730172),49.2(1.6706618781522224),49.2(1.6706618781522224),52.53333333,52.8,48.26666667,49.06666667,52.99999999999999(0.9309493362512642),37.39999999999999(0.8299933065325831),33.3(0.0),33.33333333333333(0.0),38.2(2.9836592000800293),43.599999999999994(1.4422205101855967),51.19999999999999(0.6531972647421814),44,46.4,51.46666667,47.2,43.73333333,53.1733333,58.13333333,49.8666667,53.867,54.6666667,55.7333333,52.26666666666666(1.3701581417242803),51.7333333(0.0),50,50.18666667,50.58666667,50.02666667,50.18666667,50.37333333,50.53333333,49.333,50.133,48.26666667
ScreenType,52.64(2.4241745445042144),71.78666667,48.533333,50.81,41.13333333333333(2.1281186266016485),62.66666666666667(1.2649110640673529),62.66666666666667(1.2649110640673529),58.66666667,50.4,44.53333333,41.6,61.73333333333333(2.8627880738111804),40.13333333333334(1.2719189352225946),34.1(2.4),33.33333333333333(0.0),40.46666666666667(1.8024674446127689),39.666666666666664(1.2840906856172154),42.86666666666667(1.2274635093014663),41.1,39.7,42.93333333,50.93333333,44.53333333,45.6266667,52,46.4,54.667,54.6666667,58.9333333,57.97333333333334(0.7466666666666669),58.9333333(0.0),53.25333333,51.70666667,52.64,53.49333333,53.2,52.77333333,52.96,50.667,50.667,53.06666667
ShapeletSim,79.94444444444444(4.475240527365851),99.96296296,100,100,50.416666666666664(1.066825798315086),69.86111111111111(3.9357298098068747),69.86111111111111(3.9357298098068747),67.77777778,66.11111111,87.77777778,89.44444444,73.75(14.263692793199292),50.83333333333333(1.9837301190396814),50.0(0.0),50.0(0.0),49.16666666666667(3.1793119839609965),49.44444444444444(0.8784104611578845),56.52777777777778(6.920793057389445),70,65,95,96.11111111,81.66666667,75.9444444,95.55555556,100,100,96.1111111,100,91.66666666666667(7.753931698830176),95.55555559999999(0.0),81.55555556,82.16666667,84.55555556,83.61111111,84.33333333,83.61111111,84.77777778,100,96.667,92.22222222
ShapesAll,92.03333333333333(0.784573486395989),86.53333333,90.683333,93,67.5(0.42491829279939664),89.33333333333333(0.3726779962499649),89.33333333333333(0.3726779962499649),90.66666667,92,92.5,91.33333333,92.54166666666667(0.720484019407942),77.54166666666666(0.8281086214313227),13.2(24.3),1.6666666666666667(0.0),59.20833333333333(2.62830479798503),61.45833333333333(0.6166103577895317),63.87499999999999(1.8796239281066602),80.2,76.8,76.8333333,18.5,86.66666667,85.3166667,84.16666667,90.8333333,91.833,89.1666667,90.5,91.83333333333333(0.7527726527090837),92.83333329999999(0.0),92.73333333,92.85,92.78333333,92.93333333,93,93.1,93.03333333,92.167,91.333,93.83333333
SmallKitchenAppliances,72.08(0.8092795149596534),81.28,81.84,82.21,77.4(0.6073622386096179),77.73333333333333(0.44221663871405487),77.73333333333333(0.44221663871405487),74.13333333,66.93333333,66.4,64.26666667,77.99999999999999(1.2858201014657256),37.93333333333333(1.4406788523316223),36.9(11.3),33.33333333333333(0.0),46.93333333333334(4.458200932613466),62.133333333333326(0.9797958971132691),67.73333333333333(3.069563848859021),67.2,64.3,66.4,67.2,69.6,73.3866667,79.2,72.5333333,78.933,77.6,85.3333333,75.57333333333334(0.9175813618178787),76.0(0.0),72.98666667,73.76,73.68,74.13333333,74.02666667,74.08,74.16,60,76,68.53333333
SonyAIBORobotSurface1,97.95341098169719(0.9472509369377883),80.0942873,92.246256,82.64,73.37770382695507(0.2881948099116266),96.1730449251248(1.1706528518694073),96.1730449251248(1.1706528518694073),98.83527454,94.34276206,93.51081531,90.51580699,96.21464226289518(0.6997755341622637),68.71880199667221(1.272633822028153),44.3(4.5),42.92845257903494(0.0),63.2279534109817(17.075795821188017),68.96838602329451(3.231767820225468),72.75374376039933(6.07534778822756),69.6,72.5,89.74,79.53410982,70.38269551,82.4625624,84.359401,63.2279534,82.363,84.5257903,76.5391015,86.38935108153078(1.3897246600879256),86.8552413(0.0),98.51913478,98.25291181,98.28618968,98.38602329,98.50249584,98.7687188,98.80199667,98.17,99.002,98.66888519
SonyAIBORobotSurface2,95.38300104931794(1.4570035641309358),93.69709689,91.259182,92.48,84.41762854144805(0.7657145603004442),98.16369359916055(0.2825375029976122),98.16369359916055(0.2825375029976122),96.01259182,92.44491081,91.39559286,90.34627492,97.77019937040923(0.35097293180114575),83.05351521511018(0.21632243576168472),59.4(7.4),61.69989506820567(0.0),80.74501573976914(3.4790072717944196),82.94858342077649(0.800857162774069),64.92654774396642(7.010580661314486),85.9,83.1,91.84,77.7544596,87.82791186,87.8908709,93.38929696,85.9391396,93.494,95.1731375,92.7597062,94.60650577124869(0.5415944554276547),94.6484785(0.0),95.5089192,96.00209864,95.76075551,95.71878279,96.03357817,95.93913956,95.81322141,98.531,97.482,97.27177335
StarLightCurves,97.50364254492473(0.24741911734318892),97.86061195,98.096163,98.24,90.37153958232152(1.4162532366285936),96.45762506070908(0.27545805237228765),96.45762506070908(0.27545805237228765),97.4137931,96.80670228,97.91160758,97.93589121,97.26809130645944(0.20189763414662354),94.85490529383198(0.2957192917748068),65.4(16.1),57.72219524040797(0.0),93.5435891209325(0.7431533113340196),92.54796017484217(0.35950593895360805),84.880403108305(0.10208336401651823),90.5,90.7,96.65,97.7051967,92.6056338,97.6857698,97.85089849,97.7780476,97.729,97.9601748,98.1544439,97.78290432248666(0.09941471340678737),97.9358912(0.0),97.65177271,97.77076251,97.79990287,97.82054395,97.83632831,97.8375425,97.83875668,97.608,97.669,97.98445847
Strawberry,98.1891891891892(0.4842289964099704),97.17117117,98.135135,96.63,96.08108108108108(0.4054054054054077),97.50000000000001(0.3510913799126104),97.50000000000001(0.3510913799126104),98.37837838,97.83783784,98.10810811,98.37837838,98.1081081081081(0.19110994086123104),95.87837837837837(0.22409626961861),64.3(0.0),64.32432432432432(0.0),95.54054054054055(0.7021827598252225),95.06756756756756(0.9039924432607818),90.60810810810811(1.7345267098639796),94.6,94.1,91.08108108,95.40540541,94.59459459,95.4864865,96.21621622,97.5675676,97.568,95.1351351,97.027027,98.27027027027026(0.36661243152028955),98.37837840000002(0.0),98.35135135,98.40540541,98.51351351,98.51351351,98.48648649,98.48648649,98.54054054,98.919,98.108,98.91891892
SwedishLeaf,97.11999999999999(0.5634181395730882),93.39733333,96.4,96.55,90.27999999999999(0.7188880302244586),96.8(0.25298221281346883),96.8(0.25298221281346883),96.48,94.72,93.76,92.96,96.44(0.1326649916142198),84.48(0.11313708498985084),11.8(13.2),6.4(0.0),83.24000000000001(1.4636939570825613),88.6(0.7704544113703258),83.88(0.6633249580710778),84.6,79.2,91.3,91.52,91.52,93.936,92.8,92.16,96.64,95.52,95.36,96.35200000000002(0.9621309682158643),97.44(0.0),97.6,97.632,97.792,97.808,97.696,97.808,97.888,96.96,95.84,96.96
Symbols,96.12060301507539(1.4537819584718372),90.14070352,97.427136,97.66,75.32663316582915(1.147006252312896),95.17587939698493(0.6926657664367015),95.17587939698493(0.6926657664367015),97.48743719,95.9798995,97.08542714,95.37688442,90.07537688442211(3.8147125074316808),83.39195979899499(1.0332103113041236),22.6(16.9),17.386934673366834(0.0),60.402010050251256(25.574976880504153),81.08040201005025(0.5043934648212257),80.30150753768844(3.233308129074451),93.8,95,96.44,94.57286432,95.9798995,95.2663317,88.24120603,96.6834171,96.181,96.3819095,97.3869347,98.03015075376884(0.4739628591980568),98.0904523(0.0),96.47236181,96.72361809,96.72361809,96.62311558,96.66331658,96.85427136,96.97487437,96.583,97.487,97.28643216
SyntheticControl,99.93333333333332(0.13333333333333197),99.18888889,99.966667,99.79,97.50000000000001(0.16666666666667052),98.91666666666666(0.4330127018922154),98.91666666666666(0.4330127018922154),100,100,99.33333333,98.66666667,99.66666666666669(0.2357022603955213),97.41666666666666(0.27638539919628974),29.8(27.8),16.666666666666664(0.0),95.83333333333333(3.0776975521032313),98.66666666666666(0.527046276694728),88.08333333333334(0.43301270189221974),98.3,99.3,99.27,99.33333333,100,99.3666667,98.33333333,96.6666667,99.333,100,99.6666667,99.60000000000001(0.1333333333333453),99.66666670000001(0.0),100,100,100,100,100,100,100,99.667,100,100
ToeSegmentation1,95.39473684210527(0.7404360971988638),95.33625731,96.842105,96.53,68.85964912280701(4.308526908857129),95.94298245614034(0.9989510503447753),95.94298245614034(0.9989510503447753),95.1754386,94.73684211,93.85964912,92.10526316,95.61403508771929(0.438596491228066),59.32017543859649(0.4779494455636686),50.5(2.7),52.63157894736842(0.0),56.03070175438597(3.0760438901547236),59.32017543859649(2.042536843223374),87.60964912280701(3.2136734407352665),75,77.2,93.42105263,78.07017544,82.89473684,88.1578947,96.49122807,93.8596491,94.737,97.3684211,98.245614,96.14035087719299(0.6446025638903111),96.49122809999999(0.0),95.78947368,95.83333333,95.74561404,95.70175439,95.52631579,95.57017544,95.74561404,96.053,96.93,96.05263158
ToeSegmentation2,94.61538461538461(1.3323467750529823),94.51282051,92.384615,95.38,68.65384615384616(0.6378124596837285),89.23076923076923(2.3709284626803746),89.23076923076923(2.3709284626803746),93.84615385,90,93.07692308,91.53846154,89.61538461538461(1.1538461538461517),75.1923076923077(1.1377076505960804),63.2(30.9),81.53846153846153(0.0),66.92307692307692(8.70285269152674),75.96153846153845(2.0622702489929985),79.8076923076923(4.722318906849492),90.8,83.8,91.53846154,80,89.23076923,88,90.76923077,96.1538462,90.769,91.5384615,95.3846154,94.30769230769229(0.3768445758127898),93.8461538(0.0),95.38461538,95.07692308,95.30769231,95.38461538,95.38461538,95.46153846,95.46153846,95.385,94.615,94.61538462
Trace,100.0(0.0),100,100,100,70.0(11.811011811017716),100.0(0.0),100.0(0.0),100,100,100,100,100.0(0.0),80.75(0.4330127018922197),35.4(27.7),24.0(0.0),93.25000000000001(1.4790199457749005),95.24999999999999(0.43301270189221974),93.0(1.5811388300841858),99,100,100,98,99,99.9,100,100,100,100,100,100.0(0.0),100.0(0.0),100,100,100,100,100,100,100,100,100,100
TwoLeadECG,99.92098331870064(0.02633889376646326),99.91220369,99.912204,99.46,78.18261633011413(0.7514153980958602),99.93415276558385(0.03801691851556129),99.93415276558385(0.03801691851556129),99.91220369,100,99.82440737,99.20983319,100.0(0.0),75.43898156277436(0.6978978531863332),50.0(0.0),50.02194907813872(0.038016918515558884),77.69973661106233(14.543347209472158),87.1817383669886(1.1497630249085824),94.71027216856892(2.8206913947239567),99.8,100,99.7,86.56716418,99.2976295,95.0746269,99.73661106,98.0684811,98.975,99.2976295,99.6488147,99.66637401229148(0.10238721501045335),99.5610184(0.0),99.91220369,99.91220369,99.91220369,99.91220369,99.91220369,99.91220369,99.91220369,100,99.912,99.91220369
TwoPatterns,100.0(0.0),99.02583333,100,100,99.9625(0.03750000000000142),87.01875(0.22176493749012657),87.01875(0.22176493749012657),95.95,100,100,100,100.0(0.0),94.7125(0.21972994789058536),40.3(31.1),25.874999999999996(0.0),97.51874999999998(0.178863600265674),99.0625(0.08003905296791089),87.64375(1.001775767075645),86.8,90.4,99.74,97.625,100,99.975,95.5,99.3,99.824,100,100,100.0(0.0),100.0(0.0),100,100,100,100,100,100,100,100,100,100
UWaveGestureLibraryAll,94.2462311557789(0.23867305903396419),95.79657547,97.537688,96.89,93.83724176437744(0.14689813777114152),81.72808486878839(0.08937917696025555),81.72808486878839(0.08937917696025555),77.49860413,81.18369626,89.39140145,91.31769961,86.05527638190954(0.2577636140789966),95.4215522054718(0.1463998950544591),28.9(34.7),12.841987716359576(0.0),92.76940256839754(0.9692995828731004),91.98771635957566(0.1944219469177068),59.54075935231714(4.133154986521145),77.3,72.8,79.98,83.08207705,80.54159687,97.107761,80.29034059,93.8860972,80.96,82.1887214,96.8453378,94.37185929648241(0.33760394099008445),95.1982133(0.0),94.65940815,94.83528755,94.85762144,94.9078727,94.94695701,94.94416527,94.95533222,96.566,96.901,96.8453378
UWaveGestureLibraryX,82.18034617532105(0.28279339535784515),82.0165643,85.474595,84.11,77.1217197096594(0.801743745436875),75.41876046901173(0.3511933452096347),75.41876046901173(0.3511933452096347),77.24734785,79.78782803,80.1228364,79.98324958,78.0429927414852(0.21030875451311326),76.76577331099944(0.2591770606871443),18.9(21.3),12.653545505304297(0.3263914838383565),72.98994974874373(1.2543412029321224),71.99190396426577(1.495518264927443),60.48297040759352(0.9455912649045193),69.9,63.4,71.29,73.61809045,72.5572306,82.1300949,73.0318258,76.2144054,72.473,75.8514796,83.9754327,81.3847012841988(0.35020439487586247),82.4958124(0.0),82.62423227,82.90340592,82.90061418,82.92573981,83.08766052,83.15187046,83.11836963,82.998,82.328,83.91959799
UWaveGestureLibraryY,75.7174762702401(0.5238952141034011),74.49190396,77.398102,77.23,67.49720826353992(0.44640511984778003),64.41233947515356(0.3809339488831704),64.41233947515356(0.3809339488831704),62.6186488,65.71747627,72.02680067,71.80346175,66.82719151312115(0.5349563692335227),69.77247347850363(0.1897302794398146),23.7(24.0),12.088218872138471(0.0),63.84701284198773(1.0402730811773708),62.6395868230039(0.2322139134507808),49.902289223897256(0.9906731629776084),67.8,65.8,73.15,77.24734785,72.36180905,76.239531,74.84645449,68.5092127,76.996,75.041876,76.5494137,75.45505304299273(0.44994616678739796),76.7169179(0.0),76.16694584,76.76158571,76.75600223,76.94584031,76.88721385,76.92629816,76.84812954,76.801,76.103,77.83361251
UWaveGestureLibraryZ,76.36236739251815(0.6834966817743138),77.24734785,79.190396,78.44,68.65577889447236(0.6443334402608515),72.6968174204355(0.24015425089454495),72.6968174204355(0.24015425089454495),61.6694584,70.29592406,74.12060302,72.27805695,74.88135120044667(0.2288330026626894),69.6677833612507(0.17711582273101198),18.0(18.4),12.088218872138471(0.0),64.87995533221664(1.0257494735272912),62.61864879955332(0.888763672793504),56.91652707984367(1.53474109079844),96.6,89.2,95.3378001,92.62981575,96.8453378,75.4885539,94.22110553,69.4863205,95.031,96.4265773,78.3082077,75.01954215522055(0.40084513893462087),76.40982690000001(0.0),77.13288666,77.42322725,77.52372976,77.63260748,77.5041876,77.7638191,77.63260748,77.024,75.879,78.16862088
Wafer,99.83776768332253(0.054775934510492404),99.9978369,99.823167,99.91,99.77693056456846(0.028964261958720944),99.71203763789747(0.013451593082226817),99.71203763789747(0.013451593082226817),99.80532122,99.72420506,99.62686567,99.74042829,99.7931537962362(0.05778636781624749),99.58225178455548(0.028964261958727547),91.3(4.4),89.21155094094743(0.0),99.1239454899416(0.2837906503007087),96.1023685918235(0.02659571108168665),91.64097988319273(0.17106665078652872),99.5,98,99.62,99.51330305,99.74042829,99.5084361,100,99.4808566,100,99.9837768,99.9351071,99.8580467229072(0.007024865377863908),99.85399090000001(0.0),99.86048021,99.85723556,99.86210253,99.85561324,99.85399091,99.85236859,99.85399091,99.87,99.74,99.83776768
Wine,74.44444444444444(11.469527827557053),88.58024691,81.296296,89.06,55.092592592592595(2.7389258255090807),63.88888888888889(8.333333333333332),63.88888888888889(8.333333333333332),75.92592593,87.03703704,77.77777778,88.88888889,68.9814814814815(11.062780690137517),51.85185185185185(3.2075014954979206),50.0(0.0),50.0(0.0),50.0(0.0),52.31481481481482(4.4163851917451185),74.53703703703705(8.005377993421563),61.1,57.4,50,61.11111111,57.40740741,53.5185185,79.62962963,74.0740741,85.185,64.8148148,77.7777778,65.92592592592592(5.925925925925927),61.1111111(0.0),78.7037037,83.7037037,84.25925926,83.51851852,83.88888889,84.25925926,84.81481481,79.63,50,81.48148148
WordSynonyms,74.2319749216301(0.7457916773272921),62.30407524,75.344828,78.74,55.79937304075236(1.3709134549009339),56.15203761755485(0.5124097504162276),56.15203761755485(0.5124097504162276),65.98746082,68.80877743,73.04075235,73.04075235,61.3244514106583(0.4750923061513374),59.952978056426346(0.17524043710813617),28.4(13.6),21.943573667711604(0.0),47.64890282131662(5.784527300077098),56.62225705329155(0.30098533494782975),50.54858934169278(1.9903487616301445),74.8,64.9,66.02,68.80877743,77.89968652,74.137931,57.05329154,63.7931034,72.414,75.7053292,73.8244514,73.22884012539184(0.7175876578219182),73.354232(0.0),75.28213166,76.15987461,75.97178683,75.89341693,76.2539185,76.17554859,76.31661442,74.765,73.668,77.27272727
Worms,76.49350649350649(2.689911061975063),73.33333333,74.025974,80.17,55.84415584415584(2.754961485142394),77.5974025974026(0.5623541583015838),77.5974025974026(0.5623541583015838),77.92207792,71.42857143,71.42857143,70.12987013,77.59740259740259(2.4938784895677304),46.103896103896105(2.1536524612697385),42.9(0.0),42.857142857142854(0.0),41.55844155844156(2.249416633206333),42.20779220779221(1.94805194805195),46.75324675324675(3.045724519365862),53.2,58.4,61.03896104,68.83116883,66.23376623,66.4935065,74.02597403,55.8441558,80.519,62.3376623,55.8441558,76.88311688311688(1.9086933060648146),77.9220779(0.0),78.18181818,78.7012987,78.83116883,79.22077922,78.96103896,79.87012987,78.57142857,77.922,68.831,76.62337662
WormsTwoClass,65.71428571428572(3.589681808074093),78.52813853,79.74026,81.58,69.15584415584415(1.4152269297209985),74.02597402597404(2.0534270520573896),74.02597402597404(2.0534270520573896),75.32467532,68.83116883,75.32467532,63.63636364,75.32467532467533(2.0534270520573896),60.38961038961038(1.9480519480519487),57.1(0.0),57.14285714285714(0.0),59.09090909090908(1.9480519480519487),54.87012987012987(1.6870624749047511),56.81818181818181(1.0768262306348704),58.4,62.3,72.72727273,75.32467532,68.83116883,74.025974,83.11688312,83.1168831,80.519,80.5194805,77.9220779,78.18181818181819(1.2724622040432099),79.2207792(0.0),65.45454545,65.45454545,64.67532468,65.84415584,65.97402597,66.36363636,66.1038961,74.026,70.13,70.12987013
Yoga,91.05666666666667(0.8834339565330033),87.99888889,91.036667,83.47,75.34166666666667(0.8400975472460881),83.63333333333333(0.24832774042918812),83.63333333333333(0.24832774042918812),87.3,89.46666667,90.2,87,86.73333333333333(0.3324989557210004),85.60833333333333(0.28999521068842415),53.6(0.0),53.56666666666666(0.0),74.8(3.2075431927463303),78.56666666666668(0.335824027993498),62.5(1.1848581724784157),84.4,83.6,84.99,81.93333333,87.9,87.6133333,81.76666667,91.8333333,90.9,87.6666667,91.7666667,89.05999999999999(0.8193222131059787),90.1666667(0.0),91.37,92.22333333,92.19666667,92.35666667,92.40333333,92.31666667,92.43666667,90.733,89.8,92.06666667
